"prod_id","prod_cd","prod_desc","prod_level8_desc","prod_level7_desc","prod_level6_desc","prod_level5_desc","prod_level4_desc","prod_level3_desc","prod_level2_desc","prod_level1_desc","prod_level0_desc"
"6524","M18","AMANAH SAHAM SARAWAK SCH IV","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6278","HDBS_HWSBOND","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5424","201","AMEX GOLD GENERIC","","Gold","Amex","Charge Cards","Cards","Loans And Advances","Assets","On Balance Sheet","All Product"
"6831","R22","PETRONAS DEALERS-FSMI2","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5788","C22","SHOP HOUSE EXTRA","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6198","H43","HOUSE REFIN - I (PERSONAL EDU)","","","Other Mortgage Loan","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6097","FXOPTIONS","FX OTC OPTIONS","","","","","FX","Option","Derivatives","Off Balance Sheet","All Product"
"7035","V6","CM MAS SPECIAL FINANCING-I","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5260","03_OD","OD","","","","Others","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6707","OSKUOB_OSKEF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6015","E94","KL BALANCE FUND","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6280","HDBS_HWSGDIF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6627","MIM_MAMECXII","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6158","H18","COMMODITY MURABAHAH TERM FIN-I","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5281","083","VISA INFINITE","","Premium","Visa","Credit Cards","Cards","Loans And Advances","Assets","On Balance Sheet","All Product"
"5954","E33","DANA JOHOR","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6177","H29_OTHMORT","PENSIONER FINANCING-I","","","Other Mortgage Loan","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6688","OBAP","OWN BANKERS' ACCEPTANCES PURCHASED","","","","","BA Discounted","Investments","Assets","On Balance Sheet","All Product"
"5689","B15","SPECIFIC CONTRACT FINANCING","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6892","S22","GTFS-U-I (MM)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6566","MBB_BII0518","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5586","80_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"390260","D35","NEF 2 (NEW ENTREPRENEURS FUND)","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6484","L12","MM HF (COMMERCIAL RATE)-I","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5546","63_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5363","128_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5361","127_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6930","S9","FGS-FSMI2-I","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6545","M36","ENGINEERING LOAN AAB","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6871","RRCB","FRCB REVERSED REPO (MM PLACED FIXED)","","","","","Reverse REPO","Investments","Assets","On Balance Sheet","All Product"
"5708","B32","INDUS3COMM I MOR","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6749","PRUDENTIAL_PRUILHAM","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6766","Q15","EPGS","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"7075","W9","CORP STAFF HF-I CAGAMAS","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6909","S38","MAYBANK MIKRO-I MUR","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6505","LC MURABAH","LETTER OF CREDIT - MURABAHAH","","","","","","Letter Of Credit","Trade","Off Balance Sheet","All Product"
"5403","146_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6953","ST_NID_140","SHORT TERM NID","","","","Short Term","NID Purchased","Investments","Assets","On Balance Sheet","All Product"
"5893","DPOF","DEPOSIT PLACED OVERNIGHT FIXED","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"390239","B55","DSF-DUTCHLADY DIST","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6036","FCA_220_CD","FCA DEPOSIT","","","","","Term Deposits","Customer Deposits","Liabilities","On Balance Sheet","All Product"
"6974","T23","BERNAS PPK FINANCING-I","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390281","I4","DISTRIBUTION CARD","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6360","IP22_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5950","E29_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5300","102_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6219","H62","SPECIAL PERSONAL FIN-I","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6482","L10","STAFF DIBS HOUSING FIN-I","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6379","IP45_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"6259","HDBS_AHWDIVAUSD","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5218","006","EXECARD","","","Others","Credit Cards","Cards","Loans And Advances","Assets","On Balance Sheet","All Product"
"6972","T21","FSMI2 TM Non-Vendor-i","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5401","145_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5464","29_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"390178","QP11_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"390279","G32","STAFF ASB REDRAW","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6156","H16","DIBS SHOPHOUSE FIN-I","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5994","E75","ASB SCH III - 5%","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5973","E55","ASB SCHEME III","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5872","D27","SPECIAL HOSUING LOAN SCHEME (SLS)","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5462","28_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6459","ISM3","FUND FOR SMALL AND MEDIUM INDUSTRIES 2 - ISLAMIC (SMI2A-I)","","","","","","Government Aided Fund","Liabilities","On Balance Sheet","All Product"
"6480","KLIB","FINANCIAL FUTURE - 3 MONTH MALAYSIAN","","","","","KLIBOR","Futures","Derivatives","Off Balance Sheet","All Product"
"6564","MBB_ANZ2020","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6192","H35","SPC LOW COST HOUSING-I","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5912","E016_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"7096","Z1_MORT","SAFE TERM LOAN","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6341","INEF","NEW ENTREPRENEUR FUND - ISLAMIC (NEF2A-I)","","","","","","Government Aided Fund","Liabilities","On Balance Sheet","All Product"
"6789","Q37","SME EXPRESS","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5891","DPMC","DEPOSIT PLACED; MONEY MARKET CALL/NOTICE","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"6400","IP68_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5727","B56","DSF-MRT PACKAGE","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5443","24_OD","PL HOME RENOVATION","","","Other Mortgage Loan","Mortgage","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6993","T7","ERDF-I","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6705","OSKUOB_OSKASEAN","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5851","D004_CASH","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5504","45_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6932","SBLN","SUBORDINATED LOAN TAKEN","","","","Subordinate Loan Taken","Subordinate Obligation","Other Funding","Liabilities","On Balance Sheet","All Product"
"6768","Q17","FRANCHISE FIN PACKAGE","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5809","C42","FOREIGNER HL - INVESTORS","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6362","IP24_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5626","97_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6055","FLBD","FLOATING RATE BONDS (INV/TRD)","","Float","Bonds","Private Debt Securities","Securities","Investments","Assets","On Balance Sheet","All Product"
"6442","IRCB","ISLAMIC CAGA BOND REPO","","","","","REPO","Treasury Deposits","Liabilities","On Balance Sheet","All Product"
"5342","119_OD","NEF2 SME PBF","","","BNM","Government Aided Schemes","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"7014","U4","ASB2-i","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"7033","V4","CM LAND FINANCING-I","","","Other Mortgage Loan","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390277","FS_BNM","FLOOR STOCKING","",""," BNM Fund","Floor Stocking","Auto","Loans And Advances","Assets","On Balance Sheet","All Product"
"6951","STRC_FC","SHORT TERM REVOLVING CREDIT FCY","","","","","Short Term Revolving Credit","Loans And Advances","Assets","On Balance Sheet","All Product"
"6625","MIM_MAMCIF1","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6318","IFCS_CORPL","IFCS_CORPL","","","Bonds","Foreign Currency","Securities","Investments","Assets","On Balance Sheet","All Product"
"5565","712","MICRO FINANCING-I","","Other Personal Loan - Cards","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5357","125_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5321","111_OD","DSF - SHELL","","","","Business","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6194","H4","SHOPHOUSE FINANCING-I","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6606","MBB_RHBIB2025","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6543","M31","ASN SCHEME BIASA","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6728","PCA","PREMIER CA","","","","","Current Account","Customer Deposits","Liabilities","On Balance Sheet","All Product"
"7052","W29","SME PBF OTHER PROPERTY-I","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5647","AMB_AMBDAASGD","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6770","Q19","FGS (FLEXI GUARANTEE SCHEME)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390199","PRUDENTIAL_EIJAPANMY","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5729","B60","SME PBF SECURED","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5870","D2","MY FIRST HOME SCH(CGS)","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5664","AMB_AMBVTF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5748","BA6P","SECONDARY MARKET BA BOUGHT - MEDIUM TERM","","","","","BA Discounted","Investments","Assets","On Balance Sheet","All Product"
"6810","Q9","NEW PRINCIPAL GTEE SCH (NPGS)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6339","INCD_220","NEGOTIABLE ISLAMIC DEBT SECURITIES","","","","Zero Coupon","NID Issued","Treasury Deposits","Liabilities","On Balance Sheet","All Product"
"6011","E90","ASW SCH I","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6320","IFCS_GOVL","ISLAMIC FC SEC-LOCAL GOVT","","","Bonds","Foreign Currency","Securities","Investments","Assets","On Balance Sheet","All Product"
"6869","RPTB","TREASURY BILL REPO","","","","","Short Term Deposit","Treasury Deposits","Liabilities","On Balance Sheet","All Product"
"5971","E53","ASM SCHEME BIASA (ASM I)","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5685","B11","ITPLUS","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"7073","W6","GENERIC SME PBF CLEAN-I","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5769","BNM_LOAN_261","BNM LOAN","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"6808","Q7","BUMIPUTRA INDUSTRIAL FUND (BIF)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6787","Q35","GTFS-U","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5765","BNMP","BANK NEGARA MONETARY NOTES (PB)","","Fixed","Bonds","Bnm","Securities","Investments","Assets","On Balance Sheet","All Product"
"6829","R20","SHELL DEALERS-NEF2","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5790","C24","MPLS MAXIHOME - 3 STEP","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6337","IMTN_291","ISLAMIC CORPORATE BONDS","","","Bonds","Private Debt Securities","Securities","Investments","Assets","On Balance Sheet","All Product"
"6968","T18","PETRONAS DEALERS-NEF2-I","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6276","HDBS_HWSAQF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6726","P005_MGN","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"6049","FDP","FD PREMIER","","","","","Term Deposits","Customer Deposits","Liabilities","On Balance Sheet","All Product"
"5239","021","VISA IKHWAN","","Classics","Visa","Credit Cards","Cards","Loans And Advances","Assets","On Balance Sheet","All Product"
"6585","MBB_DMFRNID2","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6463","ISSPOT","ISLAMIC SPOT","","","","","","Spot","Forex","Off Balance Sheet","All Product"
"5460","283_261","MAYBANK INVESTMENT LOAN","","","","","","Loans And Advances","Assets","On Balance Sheet","All Product"
"6421","IP93_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5441","23_OD","PL WORKING CAPITAL","","","Other Mortgage Loan","Mortgage","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6257","HDBS_AHWDIVAMYR","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5643","AFFIN_AFSGF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5603","89_OD","SHELL D/L-FGS-NEF2","","","CGC","Government Aided Schemes","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5317","10_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6095","FXO-EXO","EXOTIC OPTION","","","","Exotic Option","FX","Option","Derivatives","Off Balance Sheet","All Product"
"5645","AMB_AMBBTF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5279","07_OD","NEF OD","","","BNM","Government Aided Schemes","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6196","H41","HOUSE >RM100K-I","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6316","IFCP","FC MUDHARABAH FOREIGN INTERBANK PLCMT","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"5933","E12","SPECIAL ASB LOAN SCHEME I","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390136","AMINVEST_AMCONS","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"6116","G28","AS 1M SCHEME A (STAFF)","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6663","N5","REVOLVING HIRE PURCHASE","","","","Hire Purchase","Auto","Loans And Advances","Assets","On Balance Sheet","All Product"
"5830","CAP","CEILING RATE AGREEMENT OF IRO","","","","","Interest Rate","Option","Derivatives","Off Balance Sheet","All Product"
"6890","S20","GTFS-U-I (BBA)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6665","N8","BLOCK DISCOUNTING","","","","Block Discounting","Auto","Loans And Advances","Assets","On Balance Sheet","All Product"
"6661","N3","BLANKET HIRE PURCHASE","","","","Hire Purchase","Auto","Loans And Advances","Assets","On Balance Sheet","All Product"
"6154","H14","ASDI-I","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6217","H60","INDUS3COMM-I II MOR","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5624","96_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6299","IBG-PERFM","ISLAMIC CUST LIAB-PERFORMANCE GUARANTEE","","","","","Performance","Bank Guarantee","Trade","Off Balance Sheet","All Product"
"7029","V1_OTHMORT","CM TERM FINANCING-I","","","Other Mortgage Loan","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6646","MTR","MURABAHAH TRUST RECEIPT","","","","Trust Receipt","Trade","Loans And Advances","Assets","On Balance Sheet","All Product"
"5582","78_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"7054","W31","CASH2U-I","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6827","R19","TBVLT (TELEKOM BUMIPUTRA VENDOR LENDING TEMPLATE)","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5277","06_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"7031","V2","CM HOME FINANCING-I","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390275","E32","ASNS","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5687","B13","DIRECT LEASING","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5668","AMINVEST_AMAGRI","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5380","136_OD","SME PBF OTH PROP","","","","Business","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6928","S80","GTFS-P-I(CMTF)","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5990","E70","EXECUTIVE LOAN","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6013","E92","KL INDEX FUND","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6686","OBAD_140","OWN BANKERS' ACCEPTANCES DISCOUNTED","","","","Owned BA Discounted","Trade","Loans And Advances","Assets","On Balance Sheet","All Product"
"6604","MBB_MIBSS24","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5807","C40","FOREIGNER HL - MM2H","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"390258","D31","SEGS (SMALL EXTREPRENEUR GTEE SCHEME","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5889","DP6F","MYR MEDIUM PLACEMENT FIXED RATE","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"6093","FXMC","FX MALAYSIA CORPORATE","","","Bonds","Foreign Currency","Securities","Investments","Assets","On Balance Sheet","All Product"
"5929","E037_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5992","E73","KELABKU LOAN SECURED","","","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6236","H81","IRFG-I","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6215","H59","INDUS3COMM-I I MOR","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6499","L7","STAFF SEC HF-I (COMM RATE)","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6905","S34","SME EXPRESS-I MUR","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6747","PRUDENTIAL_PRUEQUITY","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5563","70_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6842","R32","PERODUA VENDOR FIN-FSMI2","","","BNM","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6600","MBB_MALAKOFF15","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5561","704","PERSONAL CASH","","Other Personal Loan - Cards","Other Personal Loan","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6419","IP91_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"5967","E45","OSK - UOB EQUITY TRUST","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6911","S4","I-SEFF (SMALL ENTREPRENEUR FIN FUND)","","","CGC","Government Aided Schemes","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6745","PRUDENTIAL_PRUASIF","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5399","144_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5843","CMP","COMMODITY MURABAHAH INVESTMENT (LOANS)","","","","","","Interbank Placement","Assets","On Balance Sheet","All Product"
"5319","110_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6642","MSIA","MAYBANK SILVER INVESTMENT ACCOUNT","","","","","Silver Investment Account","Customer Deposits","Liabilities","On Balance Sheet","All Product"
"6623","MIM_MAMBOSAMYR","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5704","B29","IRFG","","","","Business","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5477","34_OD","PROSPER","","","BNM","Government Aided Schemes","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6234","H79","INDUS3COMM-I V DSR","","","Shophouse","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
